Šifra,Naziv (1),Naziv (2),Črtna šifra,ME,Skupina,Klasifikacija,Stopnja DDV,% DDV,Cena,Z DDV,Začetek veljavnosti,Konec veljavnosti,Šifra za primerjavo,Pretvornik za cenik,Primerjalna cena,Nadomestna valuta,Vnesel,Čas vnosa,Popravil,Čas popravljanja,Akcijska cena,Cena paketa,Oddelek,Dobavitelj,Skupina popusta,Povezana šifra
SL.1F3K5H8P,iSH 1.0 SET 1F 3kWp,5.12kWh 8x panel,,kom,SL,,02,"22,00","6.100,05",false,06.11.2024,,,1 , ,"1.461.815,98",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F4K10H10P,iSH 1.0 SET 1F 4.2kWp,10.24kWh 10x panel,,kom,SL,,02,"22,00","8.444,70",false,06.11.2024,,,1 , ,"2.023.687,91",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F4K10H12P,iSH 1.0 SET 1F 4.2kWp,10.24kWh 12x panel,,kom,SL,,02,"22,00","8.778,00",false,06.11.2024,,,1 , ,"2.103.559,92",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F4K12H12P,iSH 1.0 SET 1F 4.2kWp,12.80kWh 12x panel,,kom,SL,,02,"22,00","9.700,35",false,06.11.2024,,,1 , ,"2.324.591,87",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F4K15H12P,iSH 1.0 SET 1F 4.2kWp,15.36kWh 12x panel,,kom,SL,,02,"22,00","10.622,70",false,06.11.2024,,,1 , ,"2.545.623,83",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F4K5H10P,iSH 1.0 SET 1F 4.2kWp,5.12kWh 10x panel,,kom,SL,,02,"22,00","6.600,00",false,06.11.2024,,,1 , ,"1.581.624,00",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F4K5H12P,iSH 1.0 SET 1F 4.2kWp,5.12kWh 12x panel,,kom,SL,,02,"22,00","6.933,30",false,06.11.2024,,,1 , ,"1.661.496,01",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F4K7H10P,iSH 1.0 SET 1F 4.2kWp,7.68kWh 10x panel,,kom,SL,,02,"22,00","7.522,35",false,06.11.2024,,,1 , ,"1.802.655,95",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F4K7H12P,iSH 1.0 SET 1F 4.2kWp,7.68kWh 12x panel,,kom,SL,,02,"22,00","7.855,65",false,06.11.2024,,,1 , ,"1.882.527,97",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F6K10H14P,iSH 1.0 SET 1F 6kWp,10.24kWh 14x panel,,kom,SL,,02,"22,00","9.487,50",false,06.11.2024,,,1 , ,"2.273.584,50",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F6K10H16P,iSH 1.0 SET 1F 6kWp,10.24kWh 16x panel,,kom,SL,,02,"22,00","9.933,00",false,06.11.2024,,,1 , ,"2.380.344,12",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F6K12H14P,iSH 1.0 SET 1F 6kWp,12.80kWh 14x panel,,kom,SL,,02,"22,00","10.409,85",false,06.11.2024,,,1 , ,"2.494.616,45",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F6K12H16P,iSH 1.0 SET 1F 6kWp,12.80kWh 16x panel,,kom,SL,,02,"22,00","10.855,35",false,06.11.2024,,,1 , ,"2.601.376,07",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F6K15H14P,iSH 1.0 SET 1F 6kWp,15.36kWh 14x panel,,kom,SL,,02,"22,00","11.332,20",false,06.11.2024,,,1 , ,"2.715.648,41",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F6K15H16P,iSH 1.0 SET 1F 6kWp,15.36kWh 16x panel,,kom,SL,,02,"22,00","11.777,70",false,06.11.2024,,,1 , ,"2.822.408,03",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F6K17H14P,iSH 1.0 SET 1F 6kWp,17.92kWh 14x panel,,kom,SL,,02,"22,00","12.254,55",false,06.11.2024,,,1 , ,"2.936.680,36",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F6K17H16P,iSH 1.0 SET 1F 6kWp,17.92kWh 16x panel,,kom,SL,,02,"22,00","12.700,05",false,06.11.2024,,,1 , ,"3.043.439,98",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F6K20H14P,iSH 1.0 SET 1F 6kWp,20.48kWh 14x panel,,kom,SL,,02,"22,00","13.176,90",false,06.11.2024,,,1 , ,"3.157.712,32",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F6K20H16P,iSH 1.0 SET 1F 6kWp,20.48kWh 16x panel,,kom,SL,,02,"22,00","13.622,40",false,06.11.2024,,,1 , ,"3.264.471,94",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F6K5H14P,iSH 1.0 SET 1F 6kWp,5.12kWh 14x panel,,kom,SL,,02,"22,00","7.637,85",false,06.11.2024,,,1 , ,"1.830.334,37",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F6K7H14P,iSH 1.0 SET 1F 6kWp,7.68kWh 14x panel,,kom,SL,,02,"22,00","8.560,20",false,06.11.2024,,,1 , ,"2.051.366,33",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.1F6K7H16P,iSH 1.0 SET 1F 6kWp,7.68kWh 16x panel,,kom,SL,,02,"22,00","9.010,65",false,06.11.2024,,,1 , ,"2.159.312,17",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F10K10H30P,iSH 1.0 SET 3F 10kWp,10.24kWh 30x panel,,kom,SL,,02,"22,00","13.125,75",false,06.11.2024,,,1 , ,"3.145.454,73",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F10K12H30P,iSH 1.0 SET 3F 10kWp,12.80kWh 30x panel,,kom,SL,,02,"22,00","14.048,10",false,06.11.2024,,,1 , ,"3.366.486,68",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F10K15H30P,iSH 1.0 SET 3F 10kWp,15.36kWh 30x panel,,kom,SL,,02,"22,00","14.970,45",false,06.11.2024,,,1 , ,"3.587.518,64",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F10K17H30P,iSH 1.0 SET 3F 10kWp,17.92kWh 30x panel,,kom,SL,,02,"22,00","15.892,80",false,06.11.2024,,,1 , ,"3.808.550,59",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F10K20H30P,iSH 1.0 SET 3F 10kWp,20.48kWh 30x panel,,kom,SL,,02,"22,00","16.815,15",false,06.11.2024,,,1 , ,"4.029.582,55",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F8K10H20P,iSH 1.0 SET 3F 8kWp,10.24kWh 20x panel,,kom,SL,,02,"22,00","11.309,10",false,06.11.2024,,,1 , ,"2.710.112,72",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F8K10H24P,iSH 1.0 SET 3F 8kWp,10.24kWh 24x panel,,kom,SL,,02,"22,00","11.972,40",false,06.11.2024,,,1 , ,"2.869.065,94",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F8K12H20P,iSH 1.0 SET 3F 8kWp,12.80kWh 20x panel,,kom,SL,,02,"22,00","12.231,45",false,06.11.2024,,,1 , ,"2.931.144,68",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F8K12H24P,iSH 1.0 SET 3F 8kWp,12.80kWh 24x panel,,kom,SL,,02,"22,00","12.894,75",false,06.11.2024,,,1 , ,"3.090.097,89",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F8K15H20P,iSH 1.0 SET 3F 8kWp,15.36kWh 20x panel,,kom,SL,,02,"22,00","13.153,80",false,06.11.2024,,,1 , ,"3.152.176,63",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F8K15H24P,iSH 1.0 SET 3F 8kWp,15.36kWh 24x panel,,kom,SL,,02,"22,00","13.817,10",false,06.11.2024,,,1 , ,"3.311.129,84",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F8K17H20P,iSH 1.0 SET 3F 8kWp,17.92kWh 20x panel,,kom,SL,,02,"22,00","14.076,15",false,06.11.2024,,,1 , ,"3.373.208,59",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F8K17H24P,iSH 1.0 SET 3F 8kWp,17.92kWh 24x panel,,kom,SL,,02,"22,00","14.739,45",false,06.11.2024,,,1 , ,"3.532.161,80",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F8K20H20P,iSH 1.0 SET 3F 8kWp,20.48kWh 20x panel,,kom,SL,,02,"22,00","14.998,50",false,06.11.2024,,,1 , ,"3.594.240,54",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,
SL.3F8K20H24P,iSH 1.0 SET 3F 8kWp,20.48kWh 24x panel,,kom,SL,,02,"22,00","15.661,80",false,06.11.2024,,,1 , ,"3.753.193,75",Luka,06.11.2024,Luka,06.11.2024,false,,C,0002215,SL,